contract_no,cust_id,w,c,a_cut,shock_cut,p_label,y_pay
CTR-00001-1,CUST-00001,0.8089651272836572,0.6599170461477466,1.0,0.12460749012033435,0.8466625473123098,True
CTR-00001-2,CUST-00001,-0.8803275185816465,-0.2550697166225274,6.632473795763236,1.1251206432226868,0.1880579355862344,False
CTR-00002-1,CUST-00002,-0.3106211920956406,0.39606358430471134,0.09203666730016802,-0.05187558998063557,0.41799652834567996,True
CTR-00003-1,CUST-00003,0.9613711734770638,-1.4200641794700326,1.842192838953619,-0.46009274263374944,0.6058067287845003,False
CTR-00004-1,CUST-00004,0.8649685969044183,1.5610309478027653,0.0,1.0777109366453308,0.9534241926968455,True
CTR-00005-1,CUST-00005,-1.4799152216195801,-0.3642150429932851,3.0,-0.10583058093701367,0.06171158267430916,False
CTR-00006-1,CUST-00006,-0.6440218883707679,-0.5317177989649138,6.937148636704446,-1.2697766952154113,0.14384894322618946,False
CTR-00007-1,CUST-00007,0.6414421723091117,-0.09058874518635518,0.0,-0.6045629823520683,0.7560807294913524,False
CTR-00008-1,CUST-00008,1.7477626711980934,0.7947649184897837,0.0,0.4792135311111813,0.9749622781075152,True
CTR-00008-2,CUST-00008,1.6371493464093758,0.21959566269266267,0.0,-0.09972119339060184,0.8435271137718279,True
CTR-00009-1,CUST-00009,0.5455123969137745,-0.24409489618202834,0.0,-0.03446602608034991,0.6286567365282738,True
CTR-00009-2,CUST-00009,-0.6212300698613209,-0.28862814425349737,8.0,-0.33583678764927777,0.15770542636484666,True
CTR-00010-1,CUST-00010,0.5386591455185136,-0.8362658434992961,3.2859312647431933,0.2729970859397343,0.26241289820128116,False
CTR-00010-2,CUST-00010,0.5024929919872315,0.4033722679784202,1.0,0.04303223639623721,0.6655823910044051,False
CTR-00010-3,CUST-00010,1.5190902392047223,-0.6372670049594134,1.573382528640192,-1.6885662814064144,0.6163757363631853,False
CTR-00011-1,CUST-00011,0.760127295218772,1.0557571683200693,1.650741160135324,-0.8434874522558427,0.9041170864750123,True
CTR-00012-1,CUST-00012,1.1104913968447025,0.64999554469012,0.0,-0.3193238075607414,0.9604177046722081,True
CTR-00013-1,CUST-00013,0.33183785563565993,-0.3829453952224672,0.0,0.057525661294912975,0.7082907536782406,True
CTR-00013-2,CUST-00013,1.1257549814192223,-0.6220046558160525,2.7809498516612674,0.9245922909605743,0.876435914469459,True
CTR-00014-1,CUST-00014,-0.4007876171712109,0.3009713108463313,6.835469525070684,-0.7786423446676815,0.16637800088794463,False
CTR-00014-2,CUST-00014,-1.320720277946465,0.09661730662099077,3.0,-1.0334780579412404,0.12613112807268165,False
CTR-00015-1,CUST-00015,-0.11865768470961488,-0.6115757460595046,0.5581460904745912,-0.13564119777330497,0.2444883984748464,False
CTR-00016-1,CUST-00016,-1.293687566789611,0.24578230263838768,1.5230621906007094,-0.6234469240133871,0.2523916770217037,False
CTR-00016-2,CUST-00016,-0.8947227000264255,-0.8248848320639264,6.0,-0.7229788881759954,0.0897794611992091,False
CTR-00016-3,CUST-00016,-0.45223686606258445,0.04045066053998503,0.0,0.9239121248869795,0.5987876783242222,False
CTR-00017-1,CUST-00017,0.49532278865027013,1.0268953474074451,0.0,0.09804081013745167,0.8500441211438782,True
CTR-00018-1,CUST-00018,1.5049140816028401,-0.7647051908375433,0.0,0.1805251488573043,0.8792024501572742,True
CTR-00019-1,CUST-00019,-0.07472556108913586,0.16651272178585666,0.0,0.29036732833166523,0.258699580781741,False
CTR-00020-1,CUST-00020,0.7574432387907495,-0.44217710286782363,0.0,-0.020749883342986344,0.783367991040552,True
CTR-00020-2,CUST-00020,1.2708307393109144,-0.11880342867740756,0.6887388531397419,0.44794347844020493,0.896271775007701,True
CTR-00021-1,CUST-00021,0.6288053198387499,0.2339082385715846,0.0,0.5500302822885348,0.7134988836792503,False
CTR-00022-1,CUST-00022,1.2866632402724967,1.2807011483162283,0.0,0.24834907334430534,0.8785572065028704,True
CTR-00022-2,CUST-00022,0.4234702785692465,-0.38323166091375915,0.0,-0.09676203716740493,0.6300607861813965,True
CTR-00023-1,CUST-00023,0.4214694608527935,0.19835696827005223,0.4883692101251431,-0.5723427752168503,0.7794780732725504,True
CTR-00023-2,CUST-00023,0.05519482405893833,0.44434439298722256,0.0,0.16844633723630392,0.710577264300972,True
CTR-00024-1,CUST-00024,0.08240126674196102,1.1688129009663886,1.0,0.8886512633871237,0.817298549116054,True
CTR-00025-1,CUST-00025,-1.3941808405416571,-1.4268725059017655,5.277845983797493,-1.015418605884749,0.00834233007086209,False
CTR-00026-1,CUST-00026,0.3124510543353767,-0.9827634313941913,1.0,-1.223489967741949,0.3909372845517449,False
CTR-00026-2,CUST-00026,-0.031108569199894576,-0.4940298311670086,0.0,0.07661988568460953,0.2707011825844288,False
CTR-00027-1,CUST-00027,-0.6645143226085961,-1.7555142886063395,8.0,-0.2613018031355951,0.06414953309357825,False
CTR-00027-2,CUST-00027,-0.7685524891140177,-0.9877249187832704,8.471284735986401,0.529988702163106,0.0,False
CTR-00028-1,CUST-00028,0.2602267570616341,-0.2700558421298346,0.0,0.935559263642812,0.8716358181200182,True
CTR-00028-2,CUST-00028,1.5037935590083527,0.2849651031073048,0.0,0.39928460798602444,0.9378502031372975,True
CTR-00029-1,CUST-00029,-0.47823870758628834,-0.900693504201679,6.4864088799732595,-0.3896969708587989,0.09540491502640386,False
CTR-00030-1,CUST-00030,1.4055925763266395,0.4217380677514375,0.2551579757043466,-0.28030948833917063,0.9180374524365359,True
CTR-00031-1,CUST-00031,0.6363192317615738,0.7492165449025777,0.0,0.5970001875926838,0.8311363937312044,True
CTR-00031-2,CUST-00031,0.6619248808030437,0.5696384309166727,7.0,0.14767096232561316,0.6989129784795369,True
CTR-00032-1,CUST-00032,1.0229303196690935,-0.05020194819577248,0.41876182492967173,-0.14770363446606077,0.8574036513846517,True
CTR-00033-1,CUST-00033,-0.7900375099170036,0.33562616496046094,0.0,1.8256624904719434,0.5775083533126718,False
CTR-00034-1,CUST-00034,-0.8595962242854568,-1.8287164114420777,4.577270633650919,0.40386877521523623,0.13671252635436965,False
CTR-00035-1,CUST-00035,-0.7331002886213456,-0.40334936768824614,4.821106457004628,-0.2614381101518366,0.2551504427335916,False
CTR-00036-1,CUST-00036,0.6750658943386789,-0.4948754991909393,1.5388870318275139,-0.10412085813487751,0.4169564611497135,False
CTR-00037-1,CUST-00037,-1.3539015282962672,0.36244952172727485,4.671829278743731,-0.2299634583573683,0.1627320364434164,True
CTR-00037-2,CUST-00037,0.11586029389217811,0.746631627736743,0.9796976201001315,-1.1572333893756834,0.7913346132079423,True
CTR-00038-1,CUST-00038,1.449717039041079,1.0311625293641837,0.0,0.5662094042529319,0.944965067212743,True
CTR-00039-1,CUST-00039,0.1258510695351862,-1.5339542442129677,3.8404490819558608,0.5793231198565287,0.44913259099763153,False
CTR-00039-2,CUST-00039,-0.031907570633418286,-0.552391123492034,2.365407764715813,0.1330410118705816,0.3978122180988598,False
CTR-00039-3,CUST-00039,-0.4278792867930184,-0.7086086600634991,0.0,-0.3823811239667084,0.15325558608850048,True
CTR-00040-1,CUST-00040,-1.1967534360655716,-1.390166903690453,8.0,-0.14283309687209228,0.02536863315028077,False
